I0,I1,I2,I3
41834.000000,39.000000,0.000000,0.000000
41873.000000,39.000000,0.000000,0.000000
41913.000000,40.000000,0.000000,0.000000
41952.000000,39.000000,0.000000,0.000000
41992.000000,39.000000,0.000000,0.000000
42030.000000,39.000000,0.000000,0.000000
42070.000000,40.000000,0.000000,0.000000
42109.000000,39.000000,0.000000,0.000000
42148.000000,39.000000,0.000000,0.000000
42188.000000,40.000000,0.000000,0.000000
42226.000000,38.000000,0.000000,0.000000
42266.000000,40.000000,0.000000,0.000000
42305.000000,39.000000,0.000000,0.000000
42344.000000,39.000000,0.000000,0.000000
42384.000000,40.000000,0.000000,0.000000
42423.000000,38.000000,0.000000,0.000000
42462.000000,40.000000,0.000000,0.000000
42501.000000,39.000000,0.000000,0.000000
42540.000000,39.000000,0.000000,0.000000
42580.000000,40.000000,0.000000,0.000000
42619.000000,39.000000,0.000000,0.000000
42658.000000,39.000000,0.000000,0.000000
42697.000000,39.000000,0.000000,0.000000
42737.000000,40.000000,0.000000,0.000000
42776.000000,39.000000,0.000000,0.000000
42816.000000,39.000000,0.000000,0.000000
42854.000000,39.000000,0.000000,0.000000
42894.000000,40.000000,0.000000,0.000000
42933.000000,39.000000,0.000000,0.000000
42972.000000,39.000000,0.000000,0.000000
43012.000000,39.000000,0.000000,0.000000
43050.000000,39.000000,0.000000,0.000000
43090.000000,40.000000,0.000000,0.000000
43129.000000,39.000000,0.000000,0.000000
43168.000000,39.000000,0.000000,0.000000
43208.000000,39.000000,0.000000,0.000000
43247.000000,40.000000,0.000000,0.000000
43286.000000,39.000000,0.000000,0.000000
43325.000000,39.000000,0.000000,0.000000
43364.000000,39.000000,0.000000,0.000000
43404.000000,40.000000,0.000000,0.000000
43443.000000,39.000000,0.000000,0.000000
43482.000000,39.000000,0.000000,0.000000
43521.000000,39.000000,0.000000,0.000000
43561.000000,40.000000,0.000000,0.000000
43600.000000,39.000000,0.000000,0.000000
43639.000000,39.000000,0.000000,0.000000
43678.000000,39.000000,0.000000,0.000000
43718.000000,39.000000,0.000000,0.000000
43757.000000,40.000000,0.000000,0.000000
43796.000000,39.000000,0.000000,0.000000
43835.000000,39.000000,0.000000,0.000000
43874.000000,39.000000,0.000000,0.000000
43914.000000,39.000000,0.000000,0.000000
43953.000000,40.000000,0.000000,0.000000
